Question,Marking Scheme,Student Response,Answer Rating
Analyse how the ability of firms to produce on a larger scale is beneficial to consumers,Producing on a larger scale may enable economies of scale example when average costs decrease. Price of the product may fall enabling consumers to buy more of the product improving living standards. Producing on a larger scale reduces shortages increases the quantity of products available to consumers. Producing on a larger scale may enable more to be spent on R&D increasing the quality of products available to consumers.,"When firms produce on a larger scale, there average total cost falls and this translate to prices they will be quoting to customers. Due to this, customers enjoy lower prices and are able to demand for more goods",3
Define labour,The human factor of production mental and physical effort required for production,Labour refers to men put into the act of production.,2
Define labour,The human factor of production mental and physical effort required for production,Labour refers to putting an individual into use to make goods.,1
Define labour,The human factor of production mental and physical effort required for production,"Labour is the amount of physical, mental and social effort put into the production of goods and services",3
Explain two motives for saving.,"to gain interest as a form of income / as a return on saving for the future e.g. for unexpected events, save for pensions, to purchase expensive items.  items which can’t be bought immediately. for children’s education to improve social mobility",One motive for is precautionary motive to guide against future circumstances or expenses that can come up.  Another important motive for saving is to serve as a form of income through interest gained.,3
Explain two motives for saving.,"to gain interest as a form of income / as a return on saving for the future e.g. for unexpected events, save for pensions, to purchase expensive items.  items which can’t be bought immediately. for children’s education to improve social mobility",People save to make more money. People save so as to be protected.,2
Explain two motives for saving.,"to gain interest as a form of income / as a return on saving for the future e.g. for unexpected events, save for pensions, to purchase expensive items.  items which can’t be bought immediately. for children’s education to improve social mobility",One motive of saving is to make them better than their counterpart. To not be a wasteful spender.,1
Analyse the reasons for countries having different population growth rates,"Different birth rates due to different levels of income different levels of education different awareness of contraception / family planning. Different death rates because of different healthcare standards prevalance of diseases different availability of hospitals/doctors. Different levels of immigration / emigration better standards of living/job opportunities to attract more immigrants/prevent emigrants. Different levels of female labour force participation rates more female labour force participation, lower birth rates. Different government regulations / incentives / disincentives e.g. one-child policy reducing population growth rates/tax breaks or allowances for couples with children. Different cultural/spiritual reasons",Population structure differs due to varying birth rate and death rate in the countries.,2
Analyse the reasons for countries having different population growth rates,"Different birth rates due to different levels of income different levels of education different awareness of contraception / family planning. Different death rates because of different healthcare standards prevalance of diseases different availability of hospitals/doctors. Different levels of immigration / emigration better standards of living/job opportunities to attract more immigrants/prevent emigrants. Different levels of female labour force participation rates more female labour force participation, lower birth rates. Different government regulations / incentives / disincentives e.g. one-child policy reducing population growth rates/tax breaks or allowances for couples with children. Different cultural/spiritual reasons","Countries have different population structure due to certain factors like birth rate in the country, awareness of family planning that exist in each country, level of education of populace and general health and hygiene culture that exist in the country.",3
Analyse the reasons for countries having different population growth rates,"Different birth rates due to different levels of income different levels of education different awareness of contraception / family planning. Different death rates because of different healthcare standards prevalance of diseases different availability of hospitals/doctors. Different levels of immigration / emigration better standards of living/job opportunities to attract more immigrants/prevent emigrants. Different levels of female labour force participation rates more female labour force participation, lower birth rates. Different government regulations / incentives / disincentives e.g. one-child policy reducing population growth rates/tax breaks or allowances for couples with children. Different cultural/spiritual reasons",Population structure differs according to the people in each country and what they want particularly. ,1
Analyse how a government can encourage enterprise,Encourage immigration/remove restrictions on immigration migrants often set up new businesses. Provide subsidies/grants/loans to encourage new firms to set up/lower costs less finance needed to start a business. Cut taxes/provide tax benefits to increase reward/profit. Lower interest rates to make it cheaper to set up a new firm/expand. Privatize firms/end state monopolies allowing new firms to come into the market. Deregulate industries removing barriers to entry/allowing new firms to come into the market,"Government can encourage enterprise by formulating effective policies such as providing grants and waivers to new companies, providing infrastructure, allowing favourable source of finance to people and also by formulating deregulation policies.",3
Analyse how a government can encourage enterprise,Encourage immigration/remove restrictions on immigration migrants often set up new businesses. Provide subsidies/grants/loans to encourage new firms to set up/lower costs less finance needed to start a business. Cut taxes/provide tax benefits to increase reward/profit. Lower interest rates to make it cheaper to set up a new firm/expand. Privatize firms/end state monopolies allowing new firms to come into the market. Deregulate industries removing barriers to entry/allowing new firms to come into the market,"Government can encourage enterprise by helping citizens, cutting tax rate and providing needs necessary",2
Analyse how a government can encourage enterprise,Encourage immigration/remove restrictions on immigration migrants often set up new businesses. Provide subsidies/grants/loans to encourage new firms to set up/lower costs less finance needed to start a business. Cut taxes/provide tax benefits to increase reward/profit. Lower interest rates to make it cheaper to set up a new firm/expand. Privatize firms/end state monopolies allowing new firms to come into the market. Deregulate industries removing barriers to entry/allowing new firms to come into the market,Government can encourage enterprise by making people safe and building businesses,1
Define a ‘stock exchange’,An organisation/market for the sale and purchase of shares (and securities/stocks). An organisation where shares are sold/buying and selling of shares.,Stock exchange is a place concerned with exchanging stock,1
Define a ‘stock exchange’,An organisation/market for the sale and purchase of shares (and securities/stocks). An organisation where shares are sold/buying and selling of shares.,Stock exchange is a place where stocks are bought and sold.,2
Define a ‘stock exchange’,An organisation/market for the sale and purchase of shares (and securities/stocks). An organisation where shares are sold/buying and selling of shares.,Stock exchange refers to a centralised organisation which facilitate the buying and selling of publicly traded companies.,3
Discuss whether a city should specialise in one industry.,Can concentrate on what the city is best at producing/make best use of the city’s resources increase output/economic growth lead to higher income/higher profit/higher revenue. Can gain a reputation in producing the product/quality increase demand attract other firms to set up in the city. Firms/industry can grow in size enjoy economies of scale/increase productivity/increase efficiency lower average cost.,A city can specialize if it will benefit from cost advantage and also has good deposit of resources.,2
Discuss whether a city should specialise in one industry.,Can concentrate on what the city is best at producing/make best use of the city’s resources increase output/economic growth lead to higher income/higher profit/higher revenue. Can gain a reputation in producing the product/quality increase demand attract other firms to set up in the city. Firms/industry can grow in size enjoy economies of scale/increase productivity/increase efficiency lower average cost.,"Yes, the city should just specialise in one industry as this will prevent competition and wastage.",1
Discuss whether a city should specialise in one industry.,Can concentrate on what the city is best at producing/make best use of the city’s resources increase output/economic growth lead to higher income/higher profit/higher revenue. Can gain a reputation in producing the product/quality increase demand attract other firms to set up in the city. Firms/industry can grow in size enjoy economies of scale/increase productivity/increase efficiency lower average cost.,A country can specialize in one industry depending on resources at its disposal and goods it has comparative advantage on than other cities. This will also depend on if the country enjoys economies of scale on the product.,3
Discuss whether an economy would benefit from one of its industries opening branches in other countries.,May improve the balance of payments/current account profits sent home obtain foreign currency branches may buy imports from the home country. May enable firms to get round other countries’ trade restrictions. May be able to take advantage of subsidies given by foreign governments lower costs of production/more competitive other reasons why cost may fall higher output. May reduce external costs at home lower pollution.,An economy will benefit from this through balance of payment improvement as profits that are generated from the enterprise are sent home. It also allows the country to gain strength in the international community.,3
Discuss whether an economy would benefit from one of its industries opening branches in other countries.,May improve the balance of payments/current account profits sent home obtain foreign currency branches may buy imports from the home country. May enable firms to get round other countries’ trade restrictions. May be able to take advantage of subsidies given by foreign governments lower costs of production/more competitive other reasons why cost may fall higher output. May reduce external costs at home lower pollution.,"Through the establishment in other countries, there is more surplus and the home country enjoys",2
Discuss whether an economy would benefit from one of its industries opening branches in other countries.,May improve the balance of payments/current account profits sent home obtain foreign currency branches may buy imports from the home country. May enable firms to get round other countries’ trade restrictions. May be able to take advantage of subsidies given by foreign governments lower costs of production/more competitive other reasons why cost may fall higher output. May reduce external costs at home lower pollution.,Setting up in another branch can be a terrible decision as both government can clash.,1
Explain why some firms have survival as a short-term goal.,Some firms may be making a loss/be in financial difficulties they may hope to continue to produce until demand increases/grow in the future and so revenue rises or costs of production fall so profit is again earned or recession ends and economic growth occurs.,Short run is a short period of time and firms usually just wait for the long term.,1
Explain why some firms have survival as a short-term goal.,Some firms may be making a loss/be in financial difficulties they may hope to continue to produce until demand increases/grow in the future and so revenue rises or costs of production fall so profit is again earned or recession ends and economic growth occurs.,Short-term goal is usually about them making survival for a short period of time so that in the long run they can be in operation.,2
Explain why some firms have survival as a short-term goal.,Some firms may be making a loss/be in financial difficulties they may hope to continue to produce until demand increases/grow in the future and so revenue rises or costs of production fall so profit is again earned or recession ends and economic growth occurs.,"In the short run, firms usually have survival as a main goal with the hope to continue producing until demand increases in the future and costs fall so as to earn economies of scale",3
Analyse how consumers may suffer as a result of a fall in the profits firms earn,Some firms may decide to stop production this may reduce competition raise price lower quality reduce choice. Some firms may reduce output may lower availability of products. Firms will have less funds available to put back into the firm/invest spend less on research and development so the quality of the product may not improve. Firms may try to cut costs of production may use lower quality raw materials reduce quality of product produced.,"As profit falls, firms reduce output which makes prices increase.",2
Analyse how consumers may suffer as a result of a fall in the profits firms earn,Some firms may decide to stop production this may reduce competition raise price lower quality reduce choice. Some firms may reduce output may lower availability of products. Firms will have less funds available to put back into the firm/invest spend less on research and development so the quality of the product may not improve. Firms may try to cut costs of production may use lower quality raw materials reduce quality of product produced.,"When there is a fall in profits earned by firms, some firms can close which reduces supply and product availability thereby driving up prices as demand mount up.",3
Analyse how consumers may suffer as a result of a fall in the profits firms earn,Some firms may decide to stop production this may reduce competition raise price lower quality reduce choice. Some firms may reduce output may lower availability of products. Firms will have less funds available to put back into the firm/invest spend less on research and development so the quality of the product may not improve. Firms may try to cut costs of production may use lower quality raw materials reduce quality of product produced.,Consumers will suffer from decline in the revenue as standard of product can fall.,1
Explain how a falling death rate may affect demand in a country.,A falling death rate may increase the size of the population this will increase demand. A falling death rate may increase the average age of the population demand for e.g. health care is likely to increase.,Falling death rate is a good thing for the demand of the producers. ,1
Explain how a falling death rate may affect demand in a country.,A falling death rate may increase the size of the population this will increase demand. A falling death rate may increase the average age of the population demand for e.g. health care is likely to increase.,Falling death rate can make product to be demanded more in the country.,2
Explain how a falling death rate may affect demand in a country.,A falling death rate may increase the size of the population this will increase demand. A falling death rate may increase the average age of the population demand for e.g. health care is likely to increase.,"As death rate falls in a country, the population generally increase and this affects demand ultimately as there is an increase in demand for the product.",3
Analyse why price can be lower in a monopoly market than in perfect competition,"It can be lower if the monopoly enjoys economies of scale/perfect competition unable to enjoy economies of scale examples if possible to enjoy economies of scale would lower average costs. It can be lower if the monopoly is subsidised e.g. state owned enterprises. It can be lower if the monopoly avoids wasteful duplication/perfect competition may result in wasteful duplication, for example provision of water pipes. It can be lower if a monopoly keeps price low as a barrier to entry making it difficult for new firms with high average costs to enter the market. A monopoly is a price maker/can influence price a perfectly competitive firm is a price taker/unable to influence price. A state monopoly may not be trying to maximise profit may be trying to promote economic welfare keep prices low to make the product affordable.","Because of some benefits the monopoly enjoys in setting prices, prices in the monopoly market can be lower than a perfect competition if the monopoly enjoys economies of scale and can lower average costs such that prices will be low. Another reason is if the monopoly is well subsidized and can afford to lower prices from subsidies enjoyed.",3
Analyse why price can be lower in a monopoly market than in perfect competition,"It can be lower if the monopoly enjoys economies of scale/perfect competition unable to enjoy economies of scale examples if possible to enjoy economies of scale would lower average costs. It can be lower if the monopoly is subsidised e.g. state owned enterprises. It can be lower if the monopoly avoids wasteful duplication/perfect competition may result in wasteful duplication, for example provision of water pipes. It can be lower if a monopoly keeps price low as a barrier to entry making it difficult for new firms with high average costs to enter the market. A monopoly is a price maker/can influence price a perfectly competitive firm is a price taker/unable to influence price. A state monopoly may not be trying to maximise profit may be trying to promote economic welfare keep prices low to make the product affordable.",Monopoly can enjoy cost advantage which can make them reduce their prices and have lower price than perfect competition.,2
Analyse why price can be lower in a monopoly market than in perfect competition,"It can be lower if the monopoly enjoys economies of scale/perfect competition unable to enjoy economies of scale examples if possible to enjoy economies of scale would lower average costs. It can be lower if the monopoly is subsidised e.g. state owned enterprises. It can be lower if the monopoly avoids wasteful duplication/perfect competition may result in wasteful duplication, for example provision of water pipes. It can be lower if a monopoly keeps price low as a barrier to entry making it difficult for new firms with high average costs to enter the market. A monopoly is a price maker/can influence price a perfectly competitive firm is a price taker/unable to influence price. A state monopoly may not be trying to maximise profit may be trying to promote economic welfare keep prices low to make the product affordable.",Monopoly tends to have one person in control,1
Identify two costs of unemployment.,"loss of output, loss of income/higher poverty/lower living standards, loss of tax revenue, higher cost of unemployment benefits, social costs such as decline in health, loss of skills of workers.",Two cost of unemployment are reduction in total output to be generated and higher cot of benefit to be paid to unemployed.,3
Identify two costs of unemployment.,"loss of output, loss of income/higher poverty/lower living standards, loss of tax revenue, higher cost of unemployment benefits, social costs such as decline in health, loss of skills of workers.",Inability to survive and poverty.,1
Identify two costs of unemployment.,"loss of output, loss of income/higher poverty/lower living standards, loss of tax revenue, higher cost of unemployment benefits, social costs such as decline in health, loss of skills of workers.",Crime rate and output effect,2
Explain two advantages of a sole proprietor,Profit incentive/all profits go to the sole proprietor do not have to share with partners and/or shareholders. Flexible as no one else to consult/quick to make decisions. Provides personal services/has personal contact with consumers can pick up changes in demand/target products. Low start up costs/easy to set up eases entry into the market/limited legal requirements. Own boss no-one to take orders from.,Just one owner and risk is just to the owner.,1
Explain two advantages of a sole proprietor,Profit incentive/all profits go to the sole proprietor do not have to share with partners and/or shareholders. Flexible as no one else to consult/quick to make decisions. Provides personal services/has personal contact with consumers can pick up changes in demand/target products. Low start up costs/easy to set up eases entry into the market/limited legal requirements. Own boss no-one to take orders from.,Easy to set up due to small capital requirement than other businesses. Management requirement is very small and reduced compared to others.,3
Explain two advantages of a sole proprietor,Profit incentive/all profits go to the sole proprietor do not have to share with partners and/or shareholders. Flexible as no one else to consult/quick to make decisions. Provides personal services/has personal contact with consumers can pick up changes in demand/target products. Low start up costs/easy to set up eases entry into the market/limited legal requirements. Own boss no-one to take orders from.,Capital is small and just one person is involved.,2
Analyse how a reduction in government spending may affect unemployment.,May increase unemployment as there may be less total (aggregate) demand which may cause a recession leading to cyclical unemployment. Lower government spending on education could reduce skills/qualifications increase structural unemployment. Lower government spending may reduce public sector jobs. Lower government spending on unemployment benefits may increase the incentive to work reduce frictional unemployment.,Government spending reduction can limit how the people get jobs in the economy which increases unemployment in the country.,2
Analyse how a reduction in government spending may affect unemployment.,May increase unemployment as there may be less total (aggregate) demand which may cause a recession leading to cyclical unemployment. Lower government spending on education could reduce skills/qualifications increase structural unemployment. Lower government spending may reduce public sector jobs. Lower government spending on unemployment benefits may increase the incentive to work reduce frictional unemployment.,"Government spending on certain items of expenditure usually have effect of increasing or decreasing expenditure. When spending decrease, aggregate demand in the economy falls while firms also have less incentive to take more employees. Government spending reduction can also reduce education spending which may reduce quality of workers.",3
Analyse how a reduction in government spending may affect unemployment.,May increase unemployment as there may be less total (aggregate) demand which may cause a recession leading to cyclical unemployment. Lower government spending on education could reduce skills/qualifications increase structural unemployment. Lower government spending may reduce public sector jobs. Lower government spending on unemployment benefits may increase the incentive to work reduce frictional unemployment.,Government always dictate the direction of the state and any reduction in spending will have bad effect.,1
Explain why there may be some people unemployed whilst there are job vacancies.,The unemployed may not know about the job vacancies. They may lack the skills/qualifications to do the jobs occupationally immobile/example of occupational immobility. The jobs may be in different parts of the country the unemployed may be geographically immobile due to e.g. differences in housing costs. They may be waiting for better paid jobs. They may not be willing to work despite being registered as unemployed.,This is because the people are not serious and available to work.,1
Explain why there may be some people unemployed whilst there are job vacancies.,The unemployed may not know about the job vacancies. They may lack the skills/qualifications to do the jobs occupationally immobile/example of occupational immobility. The jobs may be in different parts of the country the unemployed may be geographically immobile due to e.g. differences in housing costs. They may be waiting for better paid jobs. They may not be willing to work despite being registered as unemployed.,Vacancies might not be what those people actually need that is why they are still unemployment.,2
Explain why there may be some people unemployed whilst there are job vacancies.,The unemployed may not know about the job vacancies. They may lack the skills/qualifications to do the jobs occupationally immobile/example of occupational immobility. The jobs may be in different parts of the country the unemployed may be geographically immobile due to e.g. differences in housing costs. They may be waiting for better paid jobs. They may not be willing to work despite being registered as unemployed.,Individuals may remain unemployed even they are not physically available where the job vacancies are. It is can also be caused as a result of mismatch in qualification of those people and the job,3
Analyse how an increase in investment may affect unemployment.,It may increase unemployment if workers and capital goods are substitutes machines will replace workers. Investment is a component of total (aggregate) demand higher investment increases total demand or higher aggregate demand can reduce cyclical unemployment. It may reduce unemployment if workers and capital goods are complements more workers will be taken on to work with the capital goods. Investment can increase labour productivity this can make labour more attractive can make products more internationally competitive raise total demand further encouraging firms to expand further.,"An increase in investment may affect unemployment depending on relationship between capital goods and labour. When both are substitute, machines bought replaces labour and this might increase unemployment. On the other hand, when both are compliments, more labour is demanded to work on those machines and capital goods reducing the rate of unemployment.",3
Analyse how an increase in investment may affect unemployment.,It may increase unemployment if workers and capital goods are substitutes machines will replace workers. Investment is a component of total (aggregate) demand higher investment increases total demand or higher aggregate demand can reduce cyclical unemployment. It may reduce unemployment if workers and capital goods are complements more workers will be taken on to work with the capital goods. Investment can increase labour productivity this can make labour more attractive can make products more internationally competitive raise total demand further encouraging firms to expand further.,An increase in investment will always increase aggregate demand which then reduces the unemployment levels.,2
Analyse how an increase in investment may affect unemployment.,It may increase unemployment if workers and capital goods are substitutes machines will replace workers. Investment is a component of total (aggregate) demand higher investment increases total demand or higher aggregate demand can reduce cyclical unemployment. It may reduce unemployment if workers and capital goods are complements more workers will be taken on to work with the capital goods. Investment can increase labour productivity this can make labour more attractive can make products more internationally competitive raise total demand further encouraging firms to expand further.,Investments will surely reduce aggregate demand every time so that works well to reduce unemployment.,1
Define an ‘export quota’.,A limit on the quantity/value that can be exported/designed to keep products in the country/designed to keep domestic prices low.,These refers to the limitation placed on goods that can come in.,2
Define an ‘export quota’.,A limit on the quantity/value that can be exported/designed to keep products in the country/designed to keep domestic prices low.,Export quotas usually aim to put quota on export.,1
Define an ‘export quota’.,A limit on the quantity/value that can be exported/designed to keep products in the country/designed to keep domestic prices low.,Export quota refers to the restrictions placed on quantity of goods and services that can be sold out of a country at a particular period of time. It aims to reduce prices of goods and services in the country for domestic users.,3
Explain two factors that could cause an increase in foreign tourists to a country.,An increase in incomes abroad will increase foreigners’ ability to afford holidays in the country. A reduction in the country’s exchange rate making holidays in the country cheaper. A rise in the price of holidays in other countries/lower price in domestic market some people will switch to a substitute holiday/costs may be lower in the domestic market. An improvement in tourist attractions in the country. Special events occurring in the country.,Because the country is beautiful and as a result of them being rich.,1
Explain two factors that could cause an increase in foreign tourists to a country.,An increase in incomes abroad will increase foreigners’ ability to afford holidays in the country. A reduction in the country’s exchange rate making holidays in the country cheaper. A rise in the price of holidays in other countries/lower price in domestic market some people will switch to a substitute holiday/costs may be lower in the domestic market. An improvement in tourist attractions in the country. Special events occurring in the country.,when the exchange rate is low and ii. When they are attracted to the country.,2
Explain two factors that could cause an increase in foreign tourists to a country.,An increase in incomes abroad will increase foreigners’ ability to afford holidays in the country. A reduction in the country’s exchange rate making holidays in the country cheaper. A rise in the price of holidays in other countries/lower price in domestic market some people will switch to a substitute holiday/costs may be lower in the domestic market. An improvement in tourist attractions in the country. Special events occurring in the country.,"Reduction in Exchange rate: When foreigners know that exchange rates are low, they are encouraged to take up holidays in the foreign country. Improvement and availability of tourist attractions to drive more people to want to visit the country",3
Analyse why workers with the same skills may be paid different wage rates,"Some workers may have stronger bargaining power because they are in trade unions/ in stronger trade unions. Some workers may be more willing to accept lower paid jobs because they e.g. regard job security to be more important. The demand for workers may be different in different countries/areas/industries the demand for labour may be different in the different industries/countries. The supply of workers may be different in different countries/areas the wage rate will tend to be higher where supply is lower. Workers may be in the public or the private sector. In some countries, the public sector is better paid. Workers may have more experience may have more responsibility. A group of workers may be discriminated example of such a group. Some workers may not be aware similarly skilled workers are being paid more and so may remain in a lower paid job. Overtime may be paid at a higher rate.",Because some workers have power and control better than the others,1
Analyse why workers with the same skills may be paid different wage rates,"Some workers may have stronger bargaining power because they are in trade unions/ in stronger trade unions. Some workers may be more willing to accept lower paid jobs because they e.g. regard job security to be more important. The demand for workers may be different in different countries/areas/industries the demand for labour may be different in the different industries/countries. The supply of workers may be different in different countries/areas the wage rate will tend to be higher where supply is lower. Workers may be in the public or the private sector. In some countries, the public sector is better paid. Workers may have more experience may have more responsibility. A group of workers may be discriminated example of such a group. Some workers may not be aware similarly skilled workers are being paid more and so may remain in a lower paid job. Overtime may be paid at a higher rate.","Workers can possibly get different wage rate due to different bargaining power they can have compared to others with the same skillset. In addition, demand for labour due to differences in region can also be a good factor accounting for this.",3
Analyse why workers with the same skills may be paid different wage rates,"Some workers may have stronger bargaining power because they are in trade unions/ in stronger trade unions. Some workers may be more willing to accept lower paid jobs because they e.g. regard job security to be more important. The demand for workers may be different in different countries/areas/industries the demand for labour may be different in the different industries/countries. The supply of workers may be different in different countries/areas the wage rate will tend to be higher where supply is lower. Workers may be in the public or the private sector. In some countries, the public sector is better paid. Workers may have more experience may have more responsibility. A group of workers may be discriminated example of such a group. Some workers may not be aware similarly skilled workers are being paid more and so may remain in a lower paid job. Overtime may be paid at a higher rate.",This is generally due to how they can determine their wage and due to demand.,2
Explain the importance of price elasticity of demand for a government.,"Knowledge of price elasticity of demand would help a government estimate how much tax revenue it may earn from indirect taxes/changes in indirect taxes may earn more on products with inelastic demand. Knowledge of price elasticity of demand may help a government to estimate how much of a subsidy to give a subsidy will have more of an impact on quantity if demand is elastic. Knowledge of price of elasticity will help a government estimate how successful it may be in reducing consumption of a product example, e.g. cigarettes more likely to be successful if demand is elastic. Knowledge of Price elasticity of demand may influence the price the government charges for the products it supplies.",Knowledge of price elasticity usually help government to formulate policies right. It helps government to decide on if it should still continue granting subsidies on a product or not. These decisions usually focus on how these policy changes can affect consumer pattern of demand generally ,3
Explain the importance of price elasticity of demand for a government.,"Knowledge of price elasticity of demand would help a government estimate how much tax revenue it may earn from indirect taxes/changes in indirect taxes may earn more on products with inelastic demand. Knowledge of price elasticity of demand may help a government to estimate how much of a subsidy to give a subsidy will have more of an impact on quantity if demand is elastic. Knowledge of price of elasticity will help a government estimate how successful it may be in reducing consumption of a product example, e.g. cigarettes more likely to be successful if demand is elastic. Knowledge of Price elasticity of demand may influence the price the government charges for the products it supplies.",It makes government know if demand is elastic or inelastic at different point in time,1
Explain the importance of price elasticity of demand for a government.,"Knowledge of price elasticity of demand would help a government estimate how much tax revenue it may earn from indirect taxes/changes in indirect taxes may earn more on products with inelastic demand. Knowledge of price elasticity of demand may help a government to estimate how much of a subsidy to give a subsidy will have more of an impact on quantity if demand is elastic. Knowledge of price of elasticity will help a government estimate how successful it may be in reducing consumption of a product example, e.g. cigarettes more likely to be successful if demand is elastic. Knowledge of Price elasticity of demand may influence the price the government charges for the products it supplies.",It helps the government to decide appropriate policy to implement at the right time.,2
Explain the difference between average fixed cost and average variable cost.,Average fixed cost is total fixed cost divided by output/fixed cost per unit costs that fall with output. Average variable cost is total variable cost divided by output/variable cost per unit costs that may fall or rise with output.,Average fixed cost refers to cost of production that doesn’t change with output divided by total output produced during the production process while average variable cost compares total cost that vary with levels of output with total output during the production process. Average fixed cost is Fixed cost/quantity while average variable cost is Variable cost/quantity.,3
Explain the difference between average fixed cost and average variable cost.,Average fixed cost is total fixed cost divided by output/fixed cost per unit costs that fall with output. Average variable cost is total variable cost divided by output/variable cost per unit costs that may fall or rise with output.,Average fixed cost measures fixed cost divided by output while average variable cost is variable cost divided by output.,2
Explain the difference between average fixed cost and average variable cost.,Average fixed cost is total fixed cost divided by output/fixed cost per unit costs that fall with output. Average variable cost is total variable cost divided by output/variable cost per unit costs that may fall or rise with output.,Average fixed cost is fixed while average variable cost is variable.,1
Analyse the advantages that a country may gain from specialising in a product such as smartphones.,Output/GDP/GDP per head may be higher resulting in higher living standards as a country can concentrate on what it is best at producing make best use of resources. Providing a product in a large quantity may lower average cost/ enable advantage to be taken of economies of scale. World demand for smartphones is high/increasing smartphones are increasing in popularity/becoming more of a necessity. May gain a good reputation for producing the product which will increase demand. Specialising encourages countries to trade providing consumers with more variety/cheaper products.,The country becomes too powerful compared to other countries and the goods become the best,1
Analyse the advantages that a country may gain from specialising in a product such as smartphones.,Output/GDP/GDP per head may be higher resulting in higher living standards as a country can concentrate on what it is best at producing make best use of resources. Providing a product in a large quantity may lower average cost/ enable advantage to be taken of economies of scale. World demand for smartphones is high/increasing smartphones are increasing in popularity/becoming more of a necessity. May gain a good reputation for producing the product which will increase demand. Specialising encourages countries to trade providing consumers with more variety/cheaper products.,It reduce cost and output can increase too,2
Analyse the advantages that a country may gain from specialising in a product such as smartphones.,Output/GDP/GDP per head may be higher resulting in higher living standards as a country can concentrate on what it is best at producing make best use of resources. Providing a product in a large quantity may lower average cost/ enable advantage to be taken of economies of scale. World demand for smartphones is high/increasing smartphones are increasing in popularity/becoming more of a necessity. May gain a good reputation for producing the product which will increase demand. Specialising encourages countries to trade providing consumers with more variety/cheaper products.,"Due to specializing in certain products, the country is able to increase output which then improves standard of living in the country. In addition, the country is able to reduce costs in the long run as it focuses and produce in large scale. ",3
Analyse how a central bank might reduce household borrowing.,It might increase the rate of interest this would increase the cost of borrowing this may discourage households from buying items/encourage saving that would require them to take out a loan. It might impose restrictions on the amount that banks can lend these may limit the size of a loan a household can get or increase the conditions that have to be met before a loan is given. It might reduce the money supply which may reduce spending and so may reduce demand for loans.,"Central bank can reduce the household borrowing via the interest rate channel. When interest rates are increased, the cost of borrowing increases and this may discourage them from taking loans or borrowings.",3
Analyse how a central bank might reduce household borrowing.,It might increase the rate of interest this would increase the cost of borrowing this may discourage households from buying items/encourage saving that would require them to take out a loan. It might impose restrictions on the amount that banks can lend these may limit the size of a loan a household can get or increase the conditions that have to be met before a loan is given. It might reduce the money supply which may reduce spending and so may reduce demand for loans.,They can reduce borrowing by preventing people from borrowing money from the bank.,1
Analyse how a central bank might reduce household borrowing.,It might increase the rate of interest this would increase the cost of borrowing this may discourage households from buying items/encourage saving that would require them to take out a loan. It might impose restrictions on the amount that banks can lend these may limit the size of a loan a household can get or increase the conditions that have to be met before a loan is given. It might reduce the money supply which may reduce spending and so may reduce demand for loans.,Central banks can reduce the household borrowing through interest rate.,2
Explain two benefits that a firm may gain from producing in another country,Avoid trade restrictions e.g. will not have to pay tariffs imposed on products. Lower transport costs enabling the firm to sell at a lower price. Access to cheaper/more skilled labour lowering costs of production/ improve the quality of the products produced. Access to cheaper/better quality raw materials lowering costs of production/improve the quality of the products produced. Closer contact with foreign consumers enabling the firm to pick up more quickly on changes in demand. Possible government subsidies to set up in areas of high unemployment. Lower taxes which may increase profits.,It increase demand and there is more people to work for them.,2
Explain two benefits that a firm may gain from producing in another country,Avoid trade restrictions e.g. will not have to pay tariffs imposed on products. Lower transport costs enabling the firm to sell at a lower price. Access to cheaper/more skilled labour lowering costs of production/ improve the quality of the products produced. Access to cheaper/better quality raw materials lowering costs of production/improve the quality of the products produced. Closer contact with foreign consumers enabling the firm to pick up more quickly on changes in demand. Possible government subsidies to set up in areas of high unemployment. Lower taxes which may increase profits.,It makes the firm popular and they also have more money that way.,1
Explain two benefits that a firm may gain from producing in another country,Avoid trade restrictions e.g. will not have to pay tariffs imposed on products. Lower transport costs enabling the firm to sell at a lower price. Access to cheaper/more skilled labour lowering costs of production/ improve the quality of the products produced. Access to cheaper/better quality raw materials lowering costs of production/improve the quality of the products produced. Closer contact with foreign consumers enabling the firm to pick up more quickly on changes in demand. Possible government subsidies to set up in areas of high unemployment. Lower taxes which may increase profits.,One of the benefits of this is that it prevents trade restrictions and countries can readily benefit from the advantages this arrangement brings. It helps to also increase the revenue potential as the firm is exposed to more market and demand from the foreign country.,3
Explain why fixed costs are high in the aircraft-making industry,Fixed costs are costs that do not change with output. There is a considerable value of capital equipment used in making aircraft/it is a capital intensive industry loans may have to be taken out to pay for capital equipment interest on loans have to be paid even if no output is made the equipment may have to be rented rent has to be paid even if no output is made. Aircraft making factories have to be very large high rental costs high business rates.,"Fixed costs are those costs in production that do not change with level of output. Due to the capital-intensive nature of the aircraft business, money is spent on these equipment and tools and they are usually fixed in nature, regardless of customers, the airline still makes use of the same plane regardless.",3
Explain why fixed costs are high in the aircraft-making industry,Fixed costs are costs that do not change with output. There is a considerable value of capital equipment used in making aircraft/it is a capital intensive industry loans may have to be taken out to pay for capital equipment interest on loans have to be paid even if no output is made the equipment may have to be rented rent has to be paid even if no output is made. Aircraft making factories have to be very large high rental costs high business rates.,Because it is a big industry and will always run regardless.,1
