,Question,Marking Scheme,Student Response,Answer Rating,ms_le,st_le,ms_n_words,st_n_words,word_Common,word_Total,word_share,fuzz_partial_ratio,fuzz_partial_token_set_ratio,fuzz_partial_token_sort_ratio,fuzz_token_set_ratio,fuzz_token_sort_ratio
162,Identify two motives for consumer spending.,"to satisfy needs, to satisfy wants, fear of future price rises, to gain satisfaction from that consumption, improve standard of living, form of investment",Consumer spending is usually made to satisfy wants- which is essential for every person-from the use of a good.To improve general living standards,3,154,146,24,23,4.0,41.0,0.0975609756097561,45,100,59,54,61
163,Identify two motives for consumer spending.,"to satisfy needs, to satisfy wants, fear of future price rises, to gain satisfaction from that consumption, improve standard of living, form of investment",To contribute to supplier and to be in line with current vogue.,1,154,63,24,12,1.0,29.0,0.034482758620689655,37,100,32,31,32
164,Identify two motives for consumer spending.,"to satisfy needs, to satisfy wants, fear of future price rises, to gain satisfaction from that consumption, improve standard of living, form of investment","To meet wants, To be satisfied",2,154,30,24,6,2.0,24.0,0.08333333333333333,50,100,55,47,29
165,Explain two benefits a firm can gain by borrowing.,"it can pay running costs / unexpected expenses (1) to enable the firm to stay in business, it can invest/purchase capital to lower costs/improve efficiency to increase profits, it can improve products/add new products by spending on R&D, it can spend on advertising to increase demand/market share, in a recession, it can help to cover its costs in order to stay in business, e.g. paying wages, covering debts",Expansion: A firm will borrow to expand and be able to cater for different expansion costs that might be involved. Another reason why firm can borrow is to improve its products and offerings to customers than its competitors.,3,409,225,68,38,8.0,76.0,0.10526315789473684,29,100,26,37,2
166,Explain two benefits a firm can gain by borrowing.,"it can pay running costs / unexpected expenses (1) to enable the firm to stay in business, it can invest/purchase capital to lower costs/improve efficiency to increase profits, it can improve products/add new products by spending on R&D, it can spend on advertising to increase demand/market share, in a recession, it can help to cover its costs in order to stay in business, e.g. paying wages, covering debts",Firms borrow to grow than others and also borrow to look better than competitors.,2,409,81,68,14,1.0,57.0,0.017543859649122806,41,100,30,20,16
167,Explain two benefits a firm can gain by borrowing.,"it can pay running costs / unexpected expenses (1) to enable the firm to stay in business, it can invest/purchase capital to lower costs/improve efficiency to increase profits, it can improve products/add new products by spending on R&D, it can spend on advertising to increase demand/market share, in a recession, it can help to cover its costs in order to stay in business, e.g. paying wages, covering debts",Firms borrow to have more money and also to look big than others.,1,409,65,68,13,1.0,58.0,0.017241379310344827,34,100,34,22,18
168,Analyse two consequences of a depreciating foreign exchange rate.,"price of exports decreases quantity of exports demanded increases value of exports increases net exports increase, price of imports increases quantity demanded for imports decreases value of imports decreases, current account deficit decreases / surplus increases total (aggregate) demand increases inflation increases, price of imported raw materials / semi-finished goods increases cost of production increases price level increases / inflation discourages savers from overseas who fear losing money.",Devaluation can cause inflation and distortion in price stability,1,502,65,68,9,2.0,48.0,0.041666666666666664,40,100,42,38,16
169,Analyse two consequences of a depreciating foreign exchange rate.,"price of exports decreases quantity of exports demanded increases value of exports increases net exports increase, price of imports increases quantity demanded for imports decreases value of imports decreases, current account deficit decreases / surplus increases total (aggregate) demand increases inflation increases, price of imported raw materials / semi-finished goods increases cost of production increases price level increases / inflation discourages savers from overseas who fear losing money.","When a foreign currency depreciate, exports becomes cheaper to foreign customers and imports become more expensive. In the short run this can lead to inflation, higher growth and increased demand for the product.",3,502,212,68,33,4.0,68.0,0.058823529411764705,30,100,26,48,8
170,Analyse two consequences of a depreciating foreign exchange rate.,"price of exports decreases quantity of exports demanded increases value of exports increases net exports increase, price of imports increases quantity demanded for imports decreases value of imports decreases, current account deficit decreases / surplus increases total (aggregate) demand increases inflation increases, price of imported raw materials / semi-finished goods increases cost of production increases price level increases / inflation discourages savers from overseas who fear losing money.",Devaluation leads to more exports and makes imports unattractive.,2,502,65,68,9,2.0,48.0,0.041666666666666664,43,100,41,38,16
171,Define public limited company,A company whose shares are traded on a stock exchange these shares can be bought and sold by the public the company has limited liability.,Public limited company is a company that is in the hands of the public instead of private owners,1,138,96,25,18,5.0,34.0,0.14705882352941177,42,100,58,57,49
172,Define public limited company,A company whose shares are traded on a stock exchange these shares can be bought and sold by the public the company has limited liability.,Public limited company has shares limited and traded on stock exchange,2,138,70,25,11,10.0,31.0,0.3225806451612903,64,100,80,100,65
173,Define public limited company,A company whose shares are traded on a stock exchange these shares can be bought and sold by the public the company has limited liability.,A public limited company is that which has unlimited number of shareholders with shares traded on the stock exchange which allows transferability,3,138,145,25,22,11.0,42.0,0.2619047619047619,49,100,60,71,58
174,Explain two reasons for growth in average earnings,"increase in demand for goods and services increase demand for workers / derived demand an increase in demand would increase wages. increase in inflation workers demand higher wages. trade union bargaining power e.g. threat of industrial action. increased productivity of workers increasing demand for labour. reduction in income tax increasing disposable incomes. the legal minimum wage increases the lowest paid earn more, increasing the average","An increase in demand for goods and services: When people demand more goods, there is an increased demand for labour to make those goods which then leads to higher wages. Inflation Condition: When there is high rate of inflation within the country, employees or labour demand more money to meet up with their spending capability",3,446,328,65,55,13.0,84.0,0.15476190476190477,18,100,29,57,1
175,Explain two reasons for growth in average earnings,"increase in demand for goods and services increase demand for workers / derived demand an increase in demand would increase wages. increase in inflation workers demand higher wages. trade union bargaining power e.g. threat of industrial action. increased productivity of workers increasing demand for labour. reduction in income tax increasing disposable incomes. the legal minimum wage increases the lowest paid earn more, increasing the average",Average earnings increase when total quantity increases and when the total earnings rises,1,446,89,65,13,5.0,53.0,0.09433962264150944,39,100,30,66,27
176,Explain two reasons for growth in average earnings,"increase in demand for goods and services increase demand for workers / derived demand an increase in demand would increase wages. increase in inflation workers demand higher wages. trade union bargaining power e.g. threat of industrial action. increased productivity of workers increasing demand for labour. reduction in income tax increasing disposable incomes. the legal minimum wage increases the lowest paid earn more, increasing the average",An increase in the demand for good. When price start to increase in the market,2,446,78,65,15,6.0,55.0,0.10909090909090909,51,100,29,64,26
177,Explain two reasons why a firm would want to specialise in producing only one product.,a firm can specialise in what it is best at producing increasing efficiency / productivity achieve economies of scale decrease cost of production. leading to higher output / higher profits. increasing global demand which would raise revenue. resources are well suited to the product e.g. good climate. a firm can gain a good reputation in producing the product specialisation may improve the quality of the product increasing demand for the product.,To increase the profit made by the firm. To ensure that it reduces cost in the process of production,2,449,100,71,19,6.0,66.0,0.09090909090909091,39,100,40,58,32
178,Explain two reasons why a firm would want to specialise in producing only one product.,a firm can specialise in what it is best at producing increasing efficiency / productivity achieve economies of scale decrease cost of production. leading to higher output / higher profits. increasing global demand which would raise revenue. resources are well suited to the product e.g. good climate. a firm can gain a good reputation in producing the product specialisation may improve the quality of the product increasing demand for the product.,A firm will specialise in the production of one good to achieve economies of scale and also improve efficiency.  Another reason a firm will concentrate on just a product is when resources to be used are strictly directed towards it,3,449,231,71,41,17.0,85.0,0.2,36,100,31,72,20
179,Explain two reasons why a firm would want to specialise in producing only one product.,a firm can specialise in what it is best at producing increasing efficiency / productivity achieve economies of scale decrease cost of production. leading to higher output / higher profits. increasing global demand which would raise revenue. resources are well suited to the product e.g. good climate. a firm can gain a good reputation in producing the product specialisation may improve the quality of the product increasing demand for the product.,To be a king in the product. To achieve maximum profit during the process,1,449,73,71,14,6.0,62.0,0.0967741935483871,45,100,33,59,25
180,Analyse how the ability of firms to produce on a larger scale is beneficial to consumers,Producing on a larger scale may enable economies of scale example when average costs decrease. Price of the product may fall enabling consumers to buy more of the product improving living standards. Producing on a larger scale reduces shortages increases the quantity of products available to consumers. Producing on a larger scale may enable more to be spent on R&D increasing the quality of products available to consumers.,"As firms produce more, customers are able to demand more products as they now have a lot option to pick from.",1,425,109,68,21,4.0,57.0,0.07017543859649122,36,100,34,37,29
181,Analyse how the ability of firms to produce on a larger scale is beneficial to consumers,Producing on a larger scale may enable economies of scale example when average costs decrease. Price of the product may fall enabling consumers to buy more of the product improving living standards. Producing on a larger scale reduces shortages increases the quantity of products available to consumers. Producing on a larger scale may enable more to be spent on R&D increasing the quality of products available to consumers.,"When they produce more, cost falls and customers enjoy more and demand for more",2,425,79,68,14,2.0,50.0,0.04,33,100,22,30,24
182,Analyse how the ability of firms to produce on a larger scale is beneficial to consumers,Producing on a larger scale may enable economies of scale example when average costs decrease. Price of the product may fall enabling consumers to buy more of the product improving living standards. Producing on a larger scale reduces shortages increases the quantity of products available to consumers. Producing on a larger scale may enable more to be spent on R&D increasing the quality of products available to consumers.,"When firms produce on a larger scale, there average total cost falls and this translate to prices they will be quoting to customers. Due to this, customers enjoy lower prices and are able to demand for more goods",3,425,212,68,38,8.0,71.0,0.11267605633802817,37,100,31,47,6
183,Define labour,The human factor of production mental and physical effort required for production,Labour refers to men put into the act of production.,2,81,52,12,10,2.0,21.0,0.09523809523809523,40,100,57,56,53
184,Define labour,The human factor of production mental and physical effort required for production,Labour refers to putting an individual into use to make goods.,1,81,62,12,11,0.0,21.0,0.0,29,41,36,33,30
185,Define labour,The human factor of production mental and physical effort required for production,"Labour is the amount of physical, mental and social effort put into the production of goods and services",3,81,104,12,18,6.0,26.0,0.23076923076923078,35,100,60,77,59
186,Explain two motives for saving.,"to gain interest as a form of income / as a return on saving for the future e.g. for unexpected events, save for pensions, to purchase expensive items.  items which cant be bought immediately. for childrens education to improve social mobility",One motive for is precautionary motive to guide against future circumstances or expenses that can come up.  Another important motive for saving is to serve as a form of income through interest gained.,3,245,200,42,34,11.0,64.0,0.171875,24,100,56,61,58
187,Explain two motives for saving.,"to gain interest as a form of income / as a return on saving for the future e.g. for unexpected events, save for pensions, to purchase expensive items.  items which cant be bought immediately. for childrens education to improve social mobility",People save to make more money. People save so as to be protected.,2,245,66,42,13,4.0,45.0,0.08888888888888889,30,100,39,42,29
188,Explain two motives for saving.,"to gain interest as a form of income / as a return on saving for the future e.g. for unexpected events, save for pensions, to purchase expensive items.  items which cant be bought immediately. for childrens education to improve social mobility",One motive of saving is to make them better than their counterpart. To not be a wasteful spender.,1,245,97,42,18,5.0,52.0,0.09615384615384616,27,100,40,34,32
189,Analyse the reasons for countries having different population growth rates,"Different birth rates due to different levels of income different levels of education different awareness of contraception / family planning. Different death rates because of different healthcare standards prevalance of diseases different availability of hospitals/doctors. Different levels of immigration / emigration better standards of living/job opportunities to attract more immigrants/prevent emigrants. Different levels of female labour force participation rates more female labour force participation, lower birth rates. Different government regulations / incentives / disincentives e.g. one-child policy reducing population growth rates/tax breaks or allowances for couples with children. Different cultural/spiritual reasons",Population structure differs due to varying birth rate and death rate in the countries.,2,734,87,91,14,5.0,71.0,0.07042253521126761,36,100,43,53,17
190,Analyse the reasons for countries having different population growth rates,"Different birth rates due to different levels of income different levels of education different awareness of contraception / family planning. Different death rates because of different healthcare standards prevalance of diseases different availability of hospitals/doctors. Different levels of immigration / emigration better standards of living/job opportunities to attract more immigrants/prevent emigrants. Different levels of female labour force participation rates more female labour force participation, lower birth rates. Different government regulations / incentives / disincentives e.g. one-child policy reducing population growth rates/tax breaks or allowances for couples with children. Different cultural/spiritual reasons","Countries have different population structure due to certain factors like birth rate in the country, awareness of family planning that exist in each country, level of education of populace and general health and hygiene culture that exist in the country.",3,734,254,91,40,9.0,89.0,0.10112359550561797,30,100,30,52,1
191,Analyse the reasons for countries having different population growth rates,"Different birth rates due to different levels of income different levels of education different awareness of contraception / family planning. Different death rates because of different healthcare standards prevalance of diseases different availability of hospitals/doctors. Different levels of immigration / emigration better standards of living/job opportunities to attract more immigrants/prevent emigrants. Different levels of female labour force participation rates more female labour force participation, lower birth rates. Different government regulations / incentives / disincentives e.g. one-child policy reducing population growth rates/tax breaks or allowances for couples with children. Different cultural/spiritual reasons",Population structure differs according to the people in each country and what they want particularly. ,1,734,102,91,16,2.0,74.0,0.02702702702702703,32,100,38,23,15
192,Analyse how a government can encourage enterprise,Encourage immigration/remove restrictions on immigration migrants often set up new businesses. Provide subsidies/grants/loans to encourage new firms to set up/lower costs less finance needed to start a business. Cut taxes/provide tax benefits to increase reward/profit. Lower interest rates to make it cheaper to set up a new firm/expand. Privatize firms/end state monopolies allowing new firms to come into the market. Deregulate industries removing barriers to entry/allowing new firms to come into the market,"Government can encourage enterprise by formulating effective policies such as providing grants and waivers to new companies, providing infrastructure, allowing favourable source of finance to people and also by formulating deregulation policies.",3,511,245,73,32,5.0,78.0,0.0641025641025641,26,100,15,33,4
193,Analyse how a government can encourage enterprise,Encourage immigration/remove restrictions on immigration migrants often set up new businesses. Provide subsidies/grants/loans to encourage new firms to set up/lower costs less finance needed to start a business. Cut taxes/provide tax benefits to increase reward/profit. Lower interest rates to make it cheaper to set up a new firm/expand. Privatize firms/end state monopolies allowing new firms to come into the market. Deregulate industries removing barriers to entry/allowing new firms to come into the market,"Government can encourage enterprise by helping citizens, cutting tax rate and providing needs necessary",2,511,103,73,14,2.0,65.0,0.03076923076923077,28,100,31,27,23
194,Analyse how a government can encourage enterprise,Encourage immigration/remove restrictions on immigration migrants often set up new businesses. Provide subsidies/grants/loans to encourage new firms to set up/lower costs less finance needed to start a business. Cut taxes/provide tax benefits to increase reward/profit. Lower interest rates to make it cheaper to set up a new firm/expand. Privatize firms/end state monopolies allowing new firms to come into the market. Deregulate industries removing barriers to entry/allowing new firms to come into the market,Government can encourage enterprise by making people safe and building businesses,1,511,81,73,11,1.0,62.0,0.016129032258064516,28,100,40,40,19
195,Define a stock exchange,An organisation/market for the sale and purchase of shares (and securities/stocks). An organisation where shares are sold/buying and selling of shares.,Stock exchange is a place concerned with exchanging stock,1,151,57,21,9,0.0,25.0,0.0,39,43,37,31,25
196,Define a stock exchange,An organisation/market for the sale and purchase of shares (and securities/stocks). An organisation where shares are sold/buying and selling of shares.,Stock exchange is a place where stocks are bought and sold.,2,151,59,21,11,3.0,28.0,0.10714285714285714,56,100,58,60,42
197,Define a stock exchange,An organisation/market for the sale and purchase of shares (and securities/stocks). An organisation where shares are sold/buying and selling of shares.,Stock exchange refers to a centralised organisation which facilitate the buying and selling of publicly traded companies.,3,151,121,21,17,5.0,34.0,0.14705882352941177,54,100,47,57,46
198,Discuss whether a city should specialise in one industry.,Can concentrate on what the city is best at producing/make best use of the citys resources increase output/economic growth lead to higher income/higher profit/higher revenue. Can gain a reputation in producing the product/quality increase demand attract other firms to set up in the city. Firms/industry can grow in size enjoy economies of scale/increase productivity/increase efficiency lower average cost.,A city can specialize if it will benefit from cost advantage and also has good deposit of resources.,2,408,100,58,18,4.0,65.0,0.06153846153846154,30,100,43,44,25
199,Discuss whether a city should specialise in one industry.,Can concentrate on what the city is best at producing/make best use of the citys resources increase output/economic growth lead to higher income/higher profit/higher revenue. Can gain a reputation in producing the product/quality increase demand attract other firms to set up in the city. Firms/industry can grow in size enjoy economies of scale/increase productivity/increase efficiency lower average cost.,"Yes, the city should just specialise in one industry as this will prevent competition and wastage.",1,408,98,58,16,3.0,63.0,0.047619047619047616,28,100,39,34,23
200,Discuss whether a city should specialise in one industry.,Can concentrate on what the city is best at producing/make best use of the citys resources increase output/economic growth lead to higher income/higher profit/higher revenue. Can gain a reputation in producing the product/quality increase demand attract other firms to set up in the city. Firms/industry can grow in size enjoy economies of scale/increase productivity/increase efficiency lower average cost.,A country can specialize in one industry depending on resources at its disposal and goods it has comparative advantage on than other cities. This will also depend on if the country enjoys economies of scale on the product.,3,408,222,58,38,10.0,80.0,0.125,37,100,34,56,6
201,Discuss whether an economy would benefit from one of its industries opening branches in other countries.,May improve the balance of payments/current account profits sent home obtain foreign currency branches may buy imports from the home country. May enable firms to get round other countries trade restrictions. May be able to take advantage of subsidies given by foreign governments lower costs of production/more competitive other reasons why cost may fall higher output. May reduce external costs at home lower pollution.,An economy will benefit from this through balance of payment improvement as profits that are generated from the enterprise are sent home. It also allows the country to gain strength in the international community.,3,421,213,64,34,7.0,79.0,0.08860759493670886,22,100,31,46,3
202,Discuss whether an economy would benefit from one of its industries opening branches in other countries.,May improve the balance of payments/current account profits sent home obtain foreign currency branches may buy imports from the home country. May enable firms to get round other countries trade restrictions. May be able to take advantage of subsidies given by foreign governments lower costs of production/more competitive other reasons why cost may fall higher output. May reduce external costs at home lower pollution.,"Through the establishment in other countries, there is more surplus and the home country enjoys",2,421,95,64,15,3.0,63.0,0.047619047619047616,28,100,29,58,29
203,Discuss whether an economy would benefit from one of its industries opening branches in other countries.,May improve the balance of payments/current account profits sent home obtain foreign currency branches may buy imports from the home country. May enable firms to get round other countries trade restrictions. May be able to take advantage of subsidies given by foreign governments lower costs of production/more competitive other reasons why cost may fall higher output. May reduce external costs at home lower pollution.,Setting up in another branch can be a terrible decision as both government can clash.,1,421,85,64,15,1.0,63.0,0.015873015873015872,27,100,33,22,20
204,Explain why some firms have survival as a short-term goal.,Some firms may be making a loss/be in financial difficulties they may hope to continue to produce until demand increases/grow in the future and so revenue rises or costs of production fall so profit is again earned or recession ends and economic growth occurs.,Short run is a short period of time and firms usually just wait for the long term.,1,260,82,44,17,6.0,54.0,0.1111111111111111,38,100,33,44,26
205,Explain why some firms have survival as a short-term goal.,Some firms may be making a loss/be in financial difficulties they may hope to continue to produce until demand increases/grow in the future and so revenue rises or costs of production fall so profit is again earned or recession ends and economic growth occurs.,Short-term goal is usually about them making survival for a short period of time so that in the long run they can be in operation.,2,260,130,44,25,9.0,62.0,0.14516129032258066,35,100,43,42,37
206,Explain why some firms have survival as a short-term goal.,Some firms may be making a loss/be in financial difficulties they may hope to continue to produce until demand increases/grow in the future and so revenue rises or costs of production fall so profit is again earned or recession ends and economic growth occurs.,"In the short run, firms usually have survival as a main goal with the hope to continue producing until demand increases in the future and costs fall so as to earn economies of scale",3,260,181,44,34,15.0,67.0,0.22388059701492538,55,100,56,67,62
207,Analyse how consumers may suffer as a result of a fall in the profits firms earn,Some firms may decide to stop production this may reduce competition raise price lower quality reduce choice. Some firms may reduce output may lower availability of products. Firms will have less funds available to put back into the firm/invest spend less on research and development so the quality of the product may not improve. Firms may try to cut costs of production may use lower quality raw materials reduce quality of product produced.,"As profit falls, firms reduce output which makes prices increase.",2,443,65,73,10,3.0,55.0,0.05454545454545454,42,100,35,46,20
208,Analyse how consumers may suffer as a result of a fall in the profits firms earn,Some firms may decide to stop production this may reduce competition raise price lower quality reduce choice. Some firms may reduce output may lower availability of products. Firms will have less funds available to put back into the firm/invest spend less on research and development so the quality of the product may not improve. Firms may try to cut costs of production may use lower quality raw materials reduce quality of product produced.,"When there is a fall in profits earned by firms, some firms can close which reduces supply and product availability thereby driving up prices as demand mount up.",3,443,161,73,28,5.0,73.0,0.0684931506849315,37,100,42,49,37
209,Analyse how consumers may suffer as a result of a fall in the profits firms earn,Some firms may decide to stop production this may reduce competition raise price lower quality reduce choice. Some firms may reduce output may lower availability of products. Firms will have less funds available to put back into the firm/invest spend less on research and development so the quality of the product may not improve. Firms may try to cut costs of production may use lower quality raw materials reduce quality of product produced.,Consumers will suffer from decline in the revenue as standard of product can fall.,1,443,82,73,14,4.0,59.0,0.06779661016949153,43,100,33,38,21
210,Explain how a falling death rate may affect demand in a country.,A falling death rate may increase the size of the population this will increase demand. A falling death rate may increase the average age of the population demand for e.g. health care is likely to increase.,Falling death rate is a good thing for the demand of the producers. ,1,206,68,36,14,9.0,37.0,0.24324324324324326,60,100,42,80,41
211,Explain how a falling death rate may affect demand in a country.,A falling death rate may increase the size of the population this will increase demand. A falling death rate may increase the average age of the population demand for e.g. health care is likely to increase.,Falling death rate can make product to be demanded more in the country.,2,206,71,36,13,5.0,37.0,0.13513513513513514,41,100,36,55,39
212,Explain how a falling death rate may affect demand in a country.,A falling death rate may increase the size of the population this will increase demand. A falling death rate may increase the average age of the population demand for e.g. health care is likely to increase.,"As death rate falls in a country, the population generally increase and this affects demand ultimately as there is an increase in demand for the product.",3,206,153,36,26,10.0,45.0,0.2222222222222222,46,100,57,67,65
213,Analyse why price can be lower in a monopoly market than in perfect competition,"It can be lower if the monopoly enjoys economies of scale/perfect competition unable to enjoy economies of scale examples if possible to enjoy economies of scale would lower average costs. It can be lower if the monopoly is subsidised e.g. state owned enterprises. It can be lower if the monopoly avoids wasteful duplication/perfect competition may result in wasteful duplication, for example provision of water pipes. It can be lower if a monopoly keeps price low as a barrier to entry making it difficult for new firms with high average costs to enter the market. A monopoly is a price maker/can influence price a perfectly competitive firm is a price taker/unable to influence price. A state monopoly may not be trying to maximise profit may be trying to promote economic welfare keep prices low to make the product affordable.","Because of some benefits the monopoly enjoys in setting prices, prices in the monopoly market can be lower than a perfect competition if the monopoly enjoys economies of scale and can lower average costs such that prices will be low. Another reason is if the monopoly is well subsidized and can afford to lower prices from subsidies enjoyed.",3,830,341,138,58,18.0,113.0,0.1592920353982301,17,100,12,67,3
214,Analyse why price can be lower in a monopoly market than in perfect competition,"It can be lower if the monopoly enjoys economies of scale/perfect competition unable to enjoy economies of scale examples if possible to enjoy economies of scale would lower average costs. It can be lower if the monopoly is subsidised e.g. state owned enterprises. It can be lower if the monopoly avoids wasteful duplication/perfect competition may result in wasteful duplication, for example provision of water pipes. It can be lower if a monopoly keeps price low as a barrier to entry making it difficult for new firms with high average costs to enter the market. A monopoly is a price maker/can influence price a perfectly competitive firm is a price taker/unable to influence price. A state monopoly may not be trying to maximise profit may be trying to promote economic welfare keep prices low to make the product affordable.",Monopoly can enjoy cost advantage which can make them reduce their prices and have lower price than perfect competition.,2,830,120,138,19,7.0,92.0,0.07608695652173914,35,100,38,70,22
215,Analyse why price can be lower in a monopoly market than in perfect competition,"It can be lower if the monopoly enjoys economies of scale/perfect competition unable to enjoy economies of scale examples if possible to enjoy economies of scale would lower average costs. It can be lower if the monopoly is subsidised e.g. state owned enterprises. It can be lower if the monopoly avoids wasteful duplication/perfect competition may result in wasteful duplication, for example provision of water pipes. It can be lower if a monopoly keeps price low as a barrier to entry making it difficult for new firms with high average costs to enter the market. A monopoly is a price maker/can influence price a perfectly competitive firm is a price taker/unable to influence price. A state monopoly may not be trying to maximise profit may be trying to promote economic welfare keep prices low to make the product affordable.",Monopoly tends to have one person in control,1,830,44,138,8,3.0,82.0,0.036585365853658534,39,100,39,48,9
216,Identify two costs of unemployment.,"loss of output, loss of income/higher poverty/lower living standards, loss of tax revenue, higher cost of unemployment benefits, social costs such as decline in health, loss of skills of workers.",Two cost of unemployment are reduction in total output to be generated and higher cot of benefit to be paid to unemployed.,3,195,122,30,22,5.0,40.0,0.125,36,100,43,55,48
217,Identify two costs of unemployment.,"loss of output, loss of income/higher poverty/lower living standards, loss of tax revenue, higher cost of unemployment benefits, social costs such as decline in health, loss of skills of workers.",Inability to survive and poverty.,1,195,33,30,5,0.0,27.0,0.0,33,100,47,36,23
218,Identify two costs of unemployment.,"loss of output, loss of income/higher poverty/lower living standards, loss of tax revenue, higher cost of unemployment benefits, social costs such as decline in health, loss of skills of workers.",Crime rate and output effect,2,195,28,30,5,0.0,27.0,0.0,39,100,50,35,18
219,Explain two advantages of a sole proprietor,Profit incentive/all profits go to the sole proprietor do not have to share with partners and/or shareholders. Flexible as no one else to consult/quick to make decisions. Provides personal services/has personal contact with consumers can pick up changes in demand/target products. Low start up costs/easy to set up eases entry into the market/limited legal requirements. Own boss no-one to take orders from.,Just one owner and risk is just to the owner.,1,407,45,62,10,3.0,61.0,0.04918032786885246,38,100,48,60,17
220,Explain two advantages of a sole proprietor,Profit incentive/all profits go to the sole proprietor do not have to share with partners and/or shareholders. Flexible as no one else to consult/quick to make decisions. Provides personal services/has personal contact with consumers can pick up changes in demand/target products. Low start up costs/easy to set up eases entry into the market/limited legal requirements. Own boss no-one to take orders from.,Easy to set up due to small capital requirement than other businesses. Management requirement is very small and reduced compared to others.,3,407,139,62,22,3.0,70.0,0.04285714285714286,45,100,35,27,34
221,Explain two advantages of a sole proprietor,Profit incentive/all profits go to the sole proprietor do not have to share with partners and/or shareholders. Flexible as no one else to consult/quick to make decisions. Provides personal services/has personal contact with consumers can pick up changes in demand/target products. Low start up costs/easy to set up eases entry into the market/limited legal requirements. Own boss no-one to take orders from.,Capital is small and just one person is involved.,2,407,49,62,9,1.0,60.0,0.016666666666666666,35,100,44,27,16
222,Analyse how a reduction in government spending may affect unemployment.,May increase unemployment as there may be less total (aggregate) demand which may cause a recession leading to cyclical unemployment. Lower government spending on education could reduce skills/qualifications increase structural unemployment. Lower government spending may reduce public sector jobs. Lower government spending on unemployment benefits may increase the incentive to work reduce frictional unemployment.,Government spending reduction can limit how the people get jobs in the economy which increases unemployment in the country.,2,416,123,54,19,5.0,51.0,0.09803921568627451,39,100,48,59,39
223,Analyse how a reduction in government spending may affect unemployment.,May increase unemployment as there may be less total (aggregate) demand which may cause a recession leading to cyclical unemployment. Lower government spending on education could reduce skills/qualifications increase structural unemployment. Lower government spending may reduce public sector jobs. Lower government spending on unemployment benefits may increase the incentive to work reduce frictional unemployment.,"Government spending on certain items of expenditure usually have effect of increasing or decreasing expenditure. When spending decrease, aggregate demand in the economy falls while firms also have less incentive to take more employees. Government spending reduction can also reduce education spending which may reduce quality of workers.",3,416,337,54,48,12.0,74.0,0.16216216216216217,9,100,5,52,1
224,Analyse how a reduction in government spending may affect unemployment.,May increase unemployment as there may be less total (aggregate) demand which may cause a recession leading to cyclical unemployment. Lower government spending on education could reduce skills/qualifications increase structural unemployment. Lower government spending may reduce public sector jobs. Lower government spending on unemployment benefits may increase the incentive to work reduce frictional unemployment.,Government always dictate the direction of the state and any reduction in spending will have bad effect.,1,416,104,54,17,3.0,51.0,0.058823529411764705,40,100,39,38,27
225,Explain why there may be some people unemployed whilst there are job vacancies.,The unemployed may not know about the job vacancies. They may lack the skills/qualifications to do the jobs occupationally immobile/example of occupational immobility. The jobs may be in different parts of the country the unemployed may be geographically immobile due to e.g. differences in housing costs. They may be waiting for better paid jobs. They may not be willing to work despite being registered as unemployed.,This is because the people are not serious and available to work.,1,419,65,66,12,3.0,55.0,0.05454545454545454,46,100,36,38,17
226,Explain why there may be some people unemployed whilst there are job vacancies.,The unemployed may not know about the job vacancies. They may lack the skills/qualifications to do the jobs occupationally immobile/example of occupational immobility. The jobs may be in different parts of the country the unemployed may be geographically immobile due to e.g. differences in housing costs. They may be waiting for better paid jobs. They may not be willing to work despite being registered as unemployed.,Vacancies might not be what those people actually need that is why they are still unemployment.,2,419,95,66,16,3.0,59.0,0.05084745762711865,42,100,46,37,27
227,Explain why there may be some people unemployed whilst there are job vacancies.,The unemployed may not know about the job vacancies. They may lack the skills/qualifications to do the jobs occupationally immobile/example of occupational immobility. The jobs may be in different parts of the country the unemployed may be geographically immobile due to e.g. differences in housing costs. They may be waiting for better paid jobs. They may not be willing to work despite being registered as unemployed.,Individuals may remain unemployed even they are not physically available where the job vacancies are. It is can also be caused as a result of mismatch in qualification of those people and the job,3,419,195,66,34,10.0,74.0,0.13513513513513514,24,100,44,46,40
228,Analyse how an increase in investment may affect unemployment.,It may increase unemployment if workers and capital goods are substitutes machines will replace workers. Investment is a component of total (aggregate) demand higher investment increases total demand or higher aggregate demand can reduce cyclical unemployment. It may reduce unemployment if workers and capital goods are complements more workers will be taken on to work with the capital goods. Investment can increase labour productivity this can make labour more attractive can make products more internationally competitive raise total demand further encouraging firms to expand further.,"An increase in investment may affect unemployment depending on relationship between capital goods and labour. When both are substitute, machines bought replaces labour and this might increase unemployment. On the other hand, when both are compliments, more labour is demanded to work on those machines and capital goods reducing the rate of unemployment.",3,590,354,85,53,19.0,94.0,0.20212765957446807,17,100,40,60,2
229,Analyse how an increase in investment may affect unemployment.,It may increase unemployment if workers and capital goods are substitutes machines will replace workers. Investment is a component of total (aggregate) demand higher investment increases total demand or higher aggregate demand can reduce cyclical unemployment. It may reduce unemployment if workers and capital goods are complements more workers will be taken on to work with the capital goods. Investment can increase labour productivity this can make labour more attractive can make products more internationally competitive raise total demand further encouraging firms to expand further.,An increase in investment will always increase aggregate demand which then reduces the unemployment levels.,2,590,107,85,15,7.0,69.0,0.10144927536231885,62,100,36,75,28
